bin_start,bin_end,count,n_below_range,n_above_range
0.0,1837.3,13719,0,6
1837.3,3674.6,168,0,6
3674.6,5511.9,82,0,6
5511.9,7349.2,67,0,6
7349.2,9186.5,48,0,6
9186.5,11023.8,16,0,6
11023.8,12861.1,6,0,6
12861.1,14698.4,12,0,6
14698.4,16535.7,7,0,6
16535.7,18373.0,4,0,6
18373.0,20210.3,7,0,6
20210.3,22047.6,6,0,6
22047.6,23884.899999999998,2,0,6
23884.899999999998,25722.2,3,0,6
25722.2,27559.5,1,0,6
27559.5,29396.8,1,0,6
29396.8,31234.1,1,0,6
31234.1,33071.4,1,0,6
33071.4,34908.7,0,0,6
34908.7,36746.0,2,0,6
