,e_con_at,e_con_ro,evn_hem4,andujak2,ant_clau,ant_inf,ant_isq,diabetes,e_con_af,e_con_ar,e_con_av,e_con_be,e_con_cu,e_con_ea,e_con_ec,e_con_lu,e_con_pp,e_con_pr,e_con_sm,e_con_va
e_con_at,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evn_hem4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andujak2,0.0,0.0,0.0,1.0,0.034105329831573265,0.0,0.046931201075532065,0.017864729457304582,0.0,0.0,0.0,0.0,0.0,0.0,0.031339908820702735,0.0,0.0023663499328744285,0.05680645743914778,0.0,0.0
ant_clau,0.0,0.0,0.0,0.034105329831573265,1.0,0.12387379607735557,0.0,0.054693764073209694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07191499055061705,0.0,0.0,0.0
ant_inf,0.0,0.0,0.0,0.0,0.12387379607735557,1.0,0.0,0.11947195990841075,0.0,0.02998211063265202,0.0,0.0,0.0,0.0,0.0,0.02352607033971404,0.13596878511747415,0.0,0.0,0.04253545118627921
ant_isq,0.0,0.0,0.0,0.046931201075532065,0.0,0.0,1.0,0.07188031294783453,0.0,0.0,0.0,0.07681876577680052,0.0,0.0,0.0,0.0,0.03837897199989788,0.04784687558787703,0.0,0.0
diabetes,0.0,0.0,0.0,0.017864729457304582,0.054693764073209694,0.11947195990841075,0.07188031294783453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07840098186182434,0.0,0.0,0.0
e_con_af,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07658564046715102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ar,0.0,0.0,0.0,0.0,0.0,0.02998211063265202,0.0,0.0,0.07658564046715102,1.0,0.0,0.0,0.0,0.0,0.0,0.15176816784750974,0.0,0.0,0.0,0.045277215350647985
e_con_av,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_be,0.0,0.0,0.0,0.0,0.0,0.0,0.07681876577680052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_cu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005259830132619732,0.0,0.0,0.0
e_con_ea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ec,0.0,0.0,0.0,0.031339908820702735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.027688178020974962,0.0,0.0,0.0
e_con_lu,0.0,0.0,0.0,0.0,0.0,0.02352607033971404,0.0,0.0,0.0,0.15176816784750974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
e_con_pp,0.0,0.0,0.0,0.0023663499328744285,0.07191499055061705,0.13596878511747415,0.03837897199989788,0.07840098186182434,0.0,0.0,0.0,0.0,0.005259830132619732,0.0,0.027688178020974962,0.0,1.0,0.0,0.0,0.014404201400033304
e_con_pr,0.0,0.0,0.0,0.05680645743914778,0.0,0.0,0.04784687558787703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
e_con_sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
e_con_va,0.0,0.0,0.0,0.0,0.0,0.04253545118627921,0.0,0.0,0.0,0.045277215350647985,0.0,0.0,0.0,0.0,0.0,0.0,0.014404201400033304,0.0,0.0,1.0
