,ana_dura,ant_clau,ant_inf,ant_isq,diabetes,e_con_af,e_con_ar,e_con_at,e_con_av,e_con_be,e_con_cu,e_con_ea,e_con_ec,e_con_lu,e_con_pp,e_con_pr,e_con_ro,e_con_sm,e_con_va,eisq_ang
ana_dura,1.0,0.01473840465275853,0.0482081873463865,0.04202031342766325,0.06879575842772213,0.0,0.04003285097334081,0.038425424700624655,0.0,0.0,0.0032213307873169535,0.0,0.0,0.024302848601323472,0.07335173957473934,0.0,0.0,0.0,0.0,0.0
ant_clau,0.01473840465275853,1.0,0.13950946744559878,0.07524746297829692,0.09936093121454179,0.042509360345261954,0.011810909834462858,0.015553131923345535,0.0,0.0,0.0,0.0,0.0,0.0,0.06528864146981461,0.0,0.0,0.0,0.0,0.0
ant_inf,0.0482081873463865,0.13950946744559878,1.0,0.09080811269239022,0.14485540914808193,0.0,0.0,0.0,0.0,0.0,0.03867217590682412,0.0,0.0,0.0,0.08226734637097856,0.017156324777060153,0.0,0.0,0.0,0.06710208165518025
ant_isq,0.04202031342766325,0.07524746297829692,0.09080811269239022,1.0,0.11882333372710542,0.0,0.015846855517117838,0.0,0.0,0.0,0.002063435696600669,0.0,0.0,0.0,0.04973268346863096,0.020521758111897357,0.0,0.0,0.003745816479239982,0.03038755548976671
diabetes,0.06879575842772213,0.09936093121454179,0.14485540914808193,0.11882333372710542,1.0,0.0,0.0,0.0403959464367056,0.0,0.0,0.0028992652510363296,0.0,0.0,0.01431403578636629,0.03870395913162503,0.0,0.0,0.0,0.0051147952942358155,0.0390562624784201
e_con_af,0.0,0.042509360345261954,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14733341536604072,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ar,0.04003285097334081,0.011810909834462858,0.0,0.015846855517117838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09098400684151355,0.02061780733887852,0.0,0.026960992912886582,0.0,0.0,0.0,0.0,0.0
e_con_at,0.038425424700624655,0.015553131923345535,0.0,0.0,0.0403959464367056,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06230486438323773,0.0,0.0,0.0,0.0
e_con_av,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_cu,0.0032213307873169535,0.0,0.03867217590682412,0.002063435696600669,0.0028992652510363296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0020233876894690745,0.0,0.0,0.0,0.0,0.0
e_con_ea,0.0,0.0,0.0,0.0,0.0,0.0,0.09098400684151355,0.0,0.0,0.0,0.0,1.0,0.16521063745200434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_ec,0.0,0.0,0.0,0.0,0.0,0.0,0.02061780733887852,0.0,0.0,0.0,0.0,0.16521063745200434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_con_lu,0.024302848601323472,0.0,0.0,0.0,0.01431403578636629,0.14733341536604072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.049634949283324174,0.0
e_con_pp,0.07335173957473934,0.06528864146981461,0.08226734637097856,0.04973268346863096,0.03870395913162503,0.0,0.026960992912886582,0.0,0.0,0.0,0.0020233876894690745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06522260280343237
e_con_pr,0.0,0.0,0.017156324777060153,0.020521758111897357,0.0,0.0,0.0,0.06230486438323773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.035412237281947784,0.0
e_con_ro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
e_con_sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
e_con_va,0.0,0.0,0.0,0.003745816479239982,0.0051147952942358155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049634949283324174,0.0,0.035412237281947784,0.0,0.0,1.0,0.0
eisq_ang,0.0,0.0,0.06710208165518025,0.03038755548976671,0.0390562624784201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06522260280343237,0.0,0.0,0.0,0.0,1.0
