Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,1980,28720,0,0,1.0,0.0,0.06449511400651466,,30700,0
Automatic Integer Score,1.0,score >= threshold,True,1865,17045,11675,115,0.9419191919191919,0.40651114206128136,0.09862506610259122,0.9902459711620017,18910,11790
Automatic Integer Score,2.0,score >= threshold,False,1769,12569,16151,211,0.8934343434343435,0.5623607242339833,0.12337843492816293,0.9871042659821537,14338,16362
Automatic Integer Score,3.0,score >= threshold,False,1638,10264,18456,342,0.8272727272727273,0.6426183844011142,0.13762392875147034,0.981806575167571,11902,18798
Automatic Integer Score,4.0,score >= threshold,False,1263,5559,23161,717,0.6378787878787879,0.806441504178273,0.1851363236587511,0.969972359494095,6822,23878
Automatic Integer Score,5.0,score >= threshold,False,1032,3793,24927,948,0.5212121212121212,0.8679317548746518,0.2138860103626943,0.9633623188405797,4825,25875
Automatic Integer Score,6.0,score >= threshold,False,651,2118,26602,1329,0.3287878787878788,0.9262534818941505,0.23510292524377033,0.9524184597758762,2769,27931
Automatic Integer Score,7.0,score >= threshold,False,437,1257,27463,1543,0.2207070707070707,0.9562325905292479,0.2579693034238489,0.9468041094945874,1694,29006
Automatic Integer Score,8.0,score >= threshold,False,258,713,28007,1722,0.1303030303030303,0.9751740947075209,0.26570545829042225,0.9420767600659289,971,29729
Automatic Integer Score,9.0,score >= threshold,False,139,367,28353,1841,0.0702020202020202,0.9872214484679666,0.274703557312253,0.9390276213817315,506,30194
Automatic Integer Score,10.0,score >= threshold,False,69,180,28540,1911,0.03484848484848485,0.9937325905292479,0.27710843373493976,0.9372434402811074,249,30451
Automatic Integer Score,11.0,score >= threshold,False,35,84,28636,1945,0.017676767676767676,0.997075208913649,0.29411764705882354,0.9363984173179425,119,30581
Automatic Integer Score,12.0,score >= threshold,False,16,35,28685,1964,0.00808080808080808,0.9987813370473537,0.3137254901960784,0.9359196058598975,51,30649
Automatic Integer Score,13.0,score >= threshold,False,7,10,28710,1973,0.0035353535353535356,0.9996518105849582,0.4117647058823529,0.9356972916598768,17,30683
Automatic Integer Score,14.0,score >= threshold,False,1,3,28717,1979,0.000505050505050505,0.9998955431754875,0.25,0.9355290591608028,4,30696
Association-Guided Integer Score,0.0,score <= threshold,False,707,9055,19665,1273,0.3570707070707071,0.6847144846796658,0.07242368367137882,0.9392014519056261,9762,20938
Association-Guided Integer Score,1.0,score <= threshold,False,1606,22215,6505,374,0.8111111111111111,0.22649721448467966,0.0674195037991688,0.9456316325047245,23821,6879
Association-Guided Integer Score,2.0,score <= threshold,False,1623,22588,6132,357,0.8196969696969697,0.21350974930362118,0.06703564495477263,0.9449838187702265,24211,6489
Association-Guided Integer Score,3.0,score <= threshold,False,1768,25018,3702,212,0.8929292929292929,0.12889972144846798,0.0660046292839543,0.945835462442514,26786,3914
Association-Guided Integer Score,4.0,score <= threshold,False,1771,25108,3612,209,0.8944444444444445,0.12576601671309193,0.06588786785222664,0.9453022768908662,26879,3821
Association-Guided Integer Score,5.0,score <= threshold,False,1780,25291,3429,200,0.898989898989899,0.1193941504178273,0.06575301983672564,0.9448883990079912,27071,3629
Association-Guided Integer Score,6.0,score <= threshold,True,1787,25487,3233,193,0.9025252525252525,0.11256963788300836,0.06552027572046638,0.9436660828955049,27274,3426
Association-Guided Integer Score,7.0,score <= threshold,False,1793,25575,3145,187,0.9055555555555556,0.10950557103064067,0.0655144694533762,0.9438775510204082,27368,3332
Association-Guided Integer Score,10.0,score <= threshold,False,1810,25988,2732,170,0.9141414141414141,0.09512534818941504,0.06511259802863516,0.9414197105444521,27798,2902
Association-Guided Integer Score,11.0,score <= threshold,False,1960,28404,316,20,0.98989898989899,0.011002785515320334,0.06455012514820181,0.9404761904761905,30364,336
Association-Guided Integer Score,13.0,score <= threshold,False,1962,28421,299,18,0.990909090909091,0.010410863509749303,0.06457558503110292,0.943217665615142,30383,317
Association-Guided Integer Score,14.0,score <= threshold,False,1967,28488,232,13,0.9934343434343434,0.00807799442896936,0.06458709571498933,0.9469387755102041,30455,245
Association-Guided Integer Score,15.0,score <= threshold,False,1967,28496,224,13,0.9934343434343434,0.007799442896935933,0.06457013426123494,0.9451476793248945,30463,237
Association-Guided Integer Score,16.0,score <= threshold,False,1972,28567,153,8,0.9959595959595959,0.005327298050139276,0.06457316873506008,0.9503105590062112,30539,161
Association-Guided Integer Score,59.0,score <= threshold,False,1972,28574,146,8,0.9959595959595959,0.005083565459610028,0.06455837098147058,0.948051948051948,30546,154
Association-Guided Integer Score,60.0,score <= threshold,False,1974,28650,70,6,0.996969696969697,0.002437325905292479,0.06445924764890282,0.9210526315789473,30624,76
Association-Guided Integer Score,69.0,score <= threshold,False,1974,28667,53,6,0.996969696969697,0.0018454038997214484,0.0644234848732091,0.8983050847457628,30641,59
Association-Guided Integer Score,70.0,score <= threshold,False,1980,28720,0,0,1.0,0.0,0.06449511400651466,,30700,0
